Parameter,Type,Min,Max,Default,Description,Example
Barcode_Allele_Frequencies_Per_Genome_Location,array of floats,0,1,[],"The fractions of allele occurrences for each location in the barcode. This 2D array has an inner array for each location in the barcode. The number of inner arrays depends on the number of locations defined in the **Parasite_Genetics** configuration parameter **Barcode_Genome_Locations**. Each inner array should have four values for the frequency of each allele at that location. The position of the value in the inner array determines the allele: index 0 is A, index 1 is C, index 2 is G, and index 3 is T. Required when **Create_Nucleotide_Squence_From** is set to 'ALLELE_FREQUENCIES'.",[link](../json/campaign-outbreakindividualmalariagenetics-barcode-allele-frequencies-per-genome-location.json)
Barcode_String,string,NA,NA,UNINITIALIZED STRING,"A series of nucleotide base letters (A, C, G, T) that represent the values at locations in the genome. The length of the string depends on the number of locations defined in the  **Parasite_Genetics** configuration parameter **Barcode_Genome_Locations**. Each character of the string corresponds to one of the locations, and locations are assumed to be in ascending order. Required when **Create_Nucleotide_Sequence_From** is set to 'NUCLEOTIDE_SEQUENCE' or 'BARCODE_STRING'.",[link](../json/campaign-outbreakindividualmalariagenetics-barcode-string.json)
Create_Nucleotide_Sequence_From,enum,NA,NA,BARCODE_STRING,"The enum indicates how the genome is created.<br>Possible values are:<br>BARCODE_STRING<br>    This option allows the user to specify a genome via the barcode.  The barcode provided will set the values of the barcode locations and the rest of the locations will depend on the **Parasite_Genetics** configuration parameter **Var_Gene_Randomness_Type** setting.  If the setting is FIXED_MSP or FIXED_NEIGHBORHOOD, then the barcode will be used to set where in the variant range the MSP and PfEMP1 values will come from.  It is assumed that if a person has had an infection with a particular barcode, then it is likely that they have antibodies to fight a new infection with the same barcode.  It is necessary to have multiple distributions of this intervention with different barcode strings in order to get infection diversity.<br>ALLELE_FREQUENCIES<br>    This option allows the user to specify that each new infection from this outbreak will have a its genome created using the frequencies defined in the **Barcode_Allele_Frequencies_Per_Genome_Location** parameters.  This is like selecting a delay time from a distribution and allows random creation of new genomes.  However, after the outbreak, new genomes are only created via meiosis and recombination.<br>NUCLEOTIDE_SEQUENCE<br>    This option allows the user to specify the entire nucleotide sequence including the MSP and major epitope values.",[link](../json/campaign-outbreakindividualmalariagenetics-create-nucleotide-sequence-from.json)
Drug_Resistant_Allele_Frequencies_Per_Genome_Location,array of floats,0,1,[],"The fractions of allele occurrences for each location in the barcode. This 2D array has an inner array for each location in the barcode. The number of inner arrays depends on the number of locations defined in the **Parasite_Genetics** configuration parameter **Drug_Resistant_Genome_Locations**. Each inner array should have four values for the frequency of each allele at that location. The position of the value in the inner array determines the allele: index 0 is A, index 1 is C, index 2 is G, and index 3 is T. Required when **Create_Nucleotide_Squence_From** is set to 'ALLELE_FREQUENCIES'.",[link](../json/campaign-outbreakindividualmalariagenetics-drug-resistant-allele-frequencies-per-genome-location.json)
Drug_Resistant_String,string,NA,NA,"""""","A series of nucleotide base letters (A, C, G, T) that represent the values at locations in the genome. The length of the string depends on the number of locations defined in the **Parasite_Genetics** configuration parameter **Drug_Resistant_Genome_Locations**. Each character of the string corresponds to one of the locations, and locations are assumed to be in ascending order. Required when **Create_Nucleotide_Sequence_From** is set to 'NUCLEOTIDE_SEQUENCE' or 'BARCODE_STRING'.",[link](../json/campaign-outbreakindividualmalariagenetics-drug-resistant-string.json)
HRP_Allele_Frequencies_Per_Genome_Location,array of floats,0,1,[],"The fractions of allele occurrences for each location in the barcode. This 2D array has an inner array for each location in the barcode. The number of inner arrays depends on the number of locations defined in the **Parasite_Genetics** configuration parameter **HRP_Genome_Locations**. Each inner array should have four values for the frequency of each allele at that location. The position of the value in the inner array determines the allele: index 0 is A, index 1 is C, index 2 is G, and index 3 is T. Required when **Create_Nucleotide_Squence_From** is set to 'ALLELE_FREQUENCIES'.",[link](../json/campaign-outbreakindividualmalariagenetics-hrp-allele-frequencies-per-genome-location.json)
HRP_String,string,NA,NA,"""""","A series of nucleotide base letters (A, C, G, T) that represent the HRP values at locations in the genome. The length of the string depends on the number of locations defined in the **Parasite_Genetics** configuration parameter **HRP_Genome_Locations**. 'A' means HRP marker is not present and a non-'A' means it is. Required when **Create_Nucleotide_Sequence_From** is set to 'NUCLEOTIDE_SEQUENCE' or 'BARCODE_STRING'.",[link](../json/campaign-outbreakindividualmalariagenetics-hrp-string.json)
Ignore_Immunity,boolean,0,1,1,Individuals will be force-infected (with a specific strain) regardless of actual immunity level when set to true (1).,[link](../json/campaign-outbreakindividualmalariagenetics-ignore-immunity.json)
Incubation_Period_Override,integer,-1,2.14E+09,-1,"The incubation period, in days, that infected individuals will go through before becoming infectious. This value overrides the incubation period set in the configuration file. Set to -1 to honor the configuration parameter settings.",[link](../json/campaign-outbreakindividualmalariagenetics-incubation-period-override.json)
MSP_Variant_Value,integer,0,1000,NA,The Merozoite Surface Protein value used to determine how the antibodies recognize the merozoites. This value must be less than or equal to the value for the configuration parameter **Falciparum_MSP_Variants** and is required when **Create_Nucleotide_Sequence_From** is set to 'NUCLEOTIDE_SEQUENCE'.,[link](../json/campaign-outbreakindividualmalariagenetics-msp-variant-value.json)
PfEMP1_Variants_Values,array of integers,0,10000,[],The PfEMP1 Variant values/major epitopes used to define how the antibodies recognize the infected red blood cells. Each value in the array must be less than or equal to the value for the configuration parameter **Falciparum_PfEMP1_Variants** and is required when **Create_Nucleotide_Sequence_From** is set to 'NUCLEOTIDE_SEQUENCE'. Note: The array must contain 50 values.,[link](../json/campaign-outbreakindividualmalariagenetics-pfemp1-variants-values.json)
