Parameter,Type,Min,Max,Default,Description,Example
Cost_To_Consumer,float,0,3.40282e+38,1,"The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.",[link](../json/campaign-malariadiagnostic-cost-to-consumer.json)
Days_To_Diagnosis,float,0,3.40282e+38,0,The number of days from diagnosis (which is done when the intervention is distributed) until a positive response is performed. The response to a negative diagnosis is done immediately when the diagnosis is made (at distribution of the intervention).,[link](../json/campaign-malariadiagnostic-days-to-diagnosis.json)
Detection_Threshold,float,0,1e+06,100,"The diagnostic detection threshold for parasites, in units of microliters of blood. Used when **Diagnostic_Type** is set to Other.",[link](../json/campaign-malariadiagnostic-detection-threshold.json)
Diagnostic_Type,enum,NA,NA,BLOOD_SMEAR_PARASITES,"The type of malaria diagnostic used. Possible values are:<br>BLOOD_SMEAR_PARASITES<br>     A sample of blood is viewed under a microscope and the number of parasites per microliter of blood is counted. This diagnostic includes some randomness because real-world smear tests may not perfectly measure parasite levels in a person's system. **Detection_Threshold** is the number of parasites per microliter of blood. This setting uses the **Measurement_Sensitivity** parameter and if **measurement** is larger than **Detection_Threshold** in the following equation, a positive diagnosis is made:<br>        `measurement = ( 1 / Measurement_Sensitivity ) * Poisson (x)` where `x = Measurement_Sensitivity * true_parasite_density`<br>BLOOD_SMEAR_GAMETOCYTES<br>     A sample of blood is viewed under a microscope and the number of gametocytes per microliter of blood is counted. This diagnostic includes some randomness because real-world smear tests may not perfectly measure gametocyte levels in a person's system. **Detection_Threshold** is the number of gametocytes per microliter of blood. This setting uses the **Measurement_Sensitivity** parameter and if **measurement** is larger than **Detection_Threshold** in the following equation, a positive diagnosis is made:<br>        `measurement = ( 1 / Measurement_Sensitivity ) * Poisson (x)` where `x = Measurement_Sensitivity * true_gametocyte_density`<br>FEVER<br>    The fever detection threshold is defined as the number of degrees Celsius above a normal body temperature of 37 degrees. If a person's body temperature is above this threshold, a positive diagnosis is made. For example, a **Detection_Threshold** of 2 would result in a positive diagnosis for temperatures above 39 degrees. Fever as a diagnostic uses a model of cytokines based on the paper [Innate immunity to malaria](https://doi.org/10.1038/nri1311).<br>PCR_PARASITES<br>    The intervention models a quantitative nucleic acid sequence-based amplification (QT-NASBA) type measurement of parasite density and draws a value from a random Gaussian distribution. **Detection_Threshold** is the number of parasites per microliter of blood. This measurement is based on the paper [Improving statistical inference on pathogen densities estimated by quantitative molecular methods: malaria gametocytaemia as a case study](http://dx.doi.org/10.1186/s12859-014-0402-2).<br>PCR_GAMETOCYTES<br>    The intervention models a quantitative nucleic acid sequence-based amplification (QT-NASBA) type measurement of gametocyte density and draws a value from a random Gaussian distribution. **Detection_Threshold** is the number of gametocytes per microliter of blood. This measurement is based on the paper [Improving statistical inference on pathogen densities estimated by quantitative molecular methods: malaria gametocytaemia as a case study](http://dx.doi.org/10.1186/s12859-014-0402-2).<br>PF_HRP2<br>    Measures the number of picograms of histidine-rick protein 2 (HRP2) in a microliter of blood. **Detection_Threshold** is in picograms of HRP2 per microliter of blood. This is modeled with boost and decay parameters and is based on the paper [Modelling the dynamics of Plasmodium falciparum histidine-rich protein 2 in human malaria to better understand malaria rapid diagnostic test performance](https://doi.org/10.1186/1475-2875-11-74).<br>TRUE_PARASITE_DENSITY<br>    A true measure of the number of parasites per microliter of blood. **Detection_Threshold** is in parasites per microliter of blood.",[link](../json/campaign-malariadiagnostic-diagnostic-type.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-malariadiagnostic-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-malariadiagnostic-dont-allow-duplicates.json)
Event_Or_Config,enum,NA,NA,Config,"Specifies whether the current intervention (or a positive diagnosis, depending on the intervention class) distributes a nested intervention (the Config option) or an event will be broadcast which may trigger other interventions in the campaign file (the Event option). <br>Possible values are:<br>* Event<br>* Config",[link](../json/campaign-malariadiagnostic-event-or-config.json)
Intervention_Name,string,NA,NA,MalariaDiagnostic,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-malariadiagnostic-intervention-name.json)
Measurement_Sensitivity,float,0,1000000.0,0.1,"The number of microliters of blood tested to find a single parasite or gametocyte in a traditional smear (corresponds to the inverse of parasites/microliters sensitivity).  This is similar to **Report_Parasite_Smear_Sensitivity** and **Report_Gametocyte_Smear_Sensitivity** in the configuration file used for reports, but this is for this instance of the diagnostic. This parameter is used when **Diagnostic_Type** is set to BLOOD_SMEAR_PARASITES or BLOOD_SMEAR_GAMETOCYTES.",[link](../json/campaign-malariadiagnostic-measurement-sensitivity.json)
Negative_Diagnosis_Config,json object,NA,NA,NA,"If **Event_Or_Config** is set to Config, this defines a new intervention to be given to the person upon a negative test result.",[link](../json/campaign-malariadiagnostic-negative-diagnosis-config.json)
